EI-10201A,LIC10201,FIC-10203,FIC-10101,TI-11701,PDIC-10102,LIC-10101,TI-10403,PIC-10201,PIC-10101,FI-10302
12.81432,167.1129,61.79824,62.7362,33.4,0.0552,171.1402,206.3,1.292391,1.403065,61.84728
12.81107,167.119,61.71411,62.54497,33.4,0.0557,171.1771,206.3,1.292391,1.403065,61.80388
12.80239,167.0883,61.57033,62.79428,33.4,0.0555,171.3615,206.3,1.291632,1.403065,62.27587
12.80564,167.1498,61.6497,62.75695,33.4,0.0559,171.3123,206.3,1.293259,1.40415,61.44039
12.79479,167.1129,61.61995,62.71129,33.4,0.0563,171.2263,206.3,1.293585,1.403716,62.12396
12.79479,167.119,62.03024,63.18702,33.4,0.056,171.2201,206.3,1.292174,1.402848,62.4983
12.81432,167.1744,62.10902,63.18702,33.4,0.0557,171.3123,206.3,1.292825,1.403065,62.55798
12.80239,167.1682,61.90695,62.93926,33.4,0.0558,171.2816,206.3,1.292717,1.403174,62.54713
12.80239,167.1436,61.91188,63.06327,33.4,0.0559,171.134,206.3,1.292391,1.402957,61.87983
12.79696,167.1498,61.64474,62.49082,33.4,0.0561,171.1709,206.3,1.291632,1.401004,62.4983
12.80022,167.1436,61.69925,62.95581,33.4,0.0559,171.4046,206.3,1.291849,1.400678,62.71531
12.79154,167.1621,61.59018,62.81087,33.4,0.0554,171.3431,206.3,1.292174,1.402089,62.48203
12.79479,167.1621,61.85756,62.61571,33.5,0.0558,171.2324,206.3,1.291306,1.401221,62.05886
12.80347,167.1621,61.71411,62.59491,33.5,0.055048,171.3492,206.3,1.291957,1.402848,62.07514
12.79479,167.1436,61.73887,62.87717,33.5,0.0549,171.3861,206.3,1.291957,1.401763,62.85094
12.80239,167.1805,61.61499,62.77769,33.5,0.0554,171.4845,206.3,1.292825,1.403065,62.28672
12.79154,167.1436,61.6943,62.65728,33.5,0.0558,171.4722,206.3,1.292934,1.403608,63.0354
12.78394,167.1744,61.61499,62.51998,33.5,0.0554,171.3492,206.3,1.2925,1.402523,62.07514
12.78937,167.1129,61.29671,62.49915,33.6,0.0556,171.3615,206.3,1.2925,1.403065,63.1005
12.79479,167.1805,61.70916,62.81502,33.5,0.0553,171.3001,206.3,1.291849,1.401221,62.18364
12.80022,167.2236,61.71411,62.74035,33.5,0.0552,171.4169,206.3,1.29174,1.401872,62.24874
12.76658,167.0883,61.90695,62.92271,33.5,0.0563,171.3308,206.3,1.29174,1.402523,62.63936
12.77851,167.2236,61.77351,62.91444,33.5,0.0557,171.4661,206.3,1.291957,1.402414,62.55256
12.78937,167.1744,61.94642,63.10042,33.5,0.0552,171.4968,206.3,1.291849,1.402306,62.42235
12.78069,167.1805,61.46103,62.6365,33.5,0.0563,171.546,206.3,1.292174,1.400895,62.55256
12.77201,167.1682,61.66952,62.56578,33.5,0.0561,171.6382,206.3,1.29174,1.402306,62.79669
12.76441,167.2113,62.03024,63.19114,33.5,0.0555,171.5644,206.3,1.2925,1.402089,62.67191
12.76658,167.1805,62.0056,62.98889,33.5,0.0554,171.5583,206.3,1.292283,1.403391,62.55256
12.77092,167.2113,61.95629,62.80258,33.5,0.056,171.5952,206.3,1.291957,1.402306,62.68276
12.76549,167.1498,61.68935,62.69053,33.5,0.056,171.7243,206.3,1.292825,1.403933,62.4549
12.76441,167.199,62.25647,63.37221,33.5,0.0559,171.7489,206.3,1.292283,1.402957,62.93774
12.76441,167.2113,62.0056,63.00543,33.5,0.0559,171.669,206.3,1.292717,1.403499,63.1222
12.76441,167.1621,61.5604,62.26957,33.5,0.0557,171.5153,206.3,1.292391,1.403391,62.86179
12.77526,167.1682,61.52068,62.56162,33.5,0.0557,171.4415,206.3,1.292717,1.402523,62.33012
12.77309,167.1375,61.63978,62.8606,33.6,0.0554,171.6198,206.3,1.29174,1.401546,62.14566
12.79479,167.1621,61.82296,62.94754,33.6,0.0556,171.6505,206.3,1.290872,1.401221,62.22704
12.79154,167.1375,61.55047,62.67391,33.6,0.0552,171.38,206.3,1.291306,1.401872,62.72074
12.77526,167.1498,61.466,62.41576,33.6,0.0557,171.5952,206.3,1.291306,1.400787,62.09141
12.77309,167.1313,61.94642,63.22411,33.6,0.0556,171.3861,206.3,1.290221,1.401221,62.23247
12.76224,167.199,62.01545,62.98476,33.6,0.0558,171.6075,206.3,1.290004,1.401004,62.58511
12.78611,167.1805,61.94642,62.95995,33.6,0.0554,171.5399,206.3,1.290655,1.400678,62.88349
12.77526,167.1006,61.87238,62.84403,33.6,0.0552,171.6628,206.3,1.29033,1.401329,62.60681
12.76441,167.1375,61.97109,62.81502,33.6,0.0559,171.5767,206.3,1.291089,1.400787,62.47118
12.78828,167.1928,61.99081,63.12105,33.6,0.0559,171.5767,206.3,1.29033,1.400353,62.60138
12.78937,167.1313,61.78835,62.60323,33.6,0.056,171.6997,206.3,1.290655,1.401221,62.87807
12.78611,167.1375,61.93163,63.16641,33.6,0.0546,171.7428,206.3,1.290872,1.402414,63.07337
12.77092,167.076,61.91681,63.04675,33.6,0.0559,171.6382,206.3,1.291198,1.400787,62.30842
12.76224,167.0821,61.42123,62.7279,33.6,0.0558,171.9149,206.3,1.29033,1.401221,62.31385
12.76441,167.1006,61.94642,62.94754,33.6,0.0558,171.8227,206.3,1.290764,1.401546,62.4549
12.77092,167.1129,62.01053,62.8606,33.6,0.0564,171.9088,206.3,1.290655,1.401329,62.47118
12.7503,167.1682,61.43616,62.46998,33.6,0.0559,171.9456,206.3,1.289245,1.39981,61.73877
12.77851,167.0268,61.6943,62.68637,33.6,0.0561,172.0317,206.3,1.289136,1.398834,62.91062
12.78611,167.0391,61.51571,62.79014,33.6,0.0558,172.0071,206.3,1.289461,1.399702,62.19449
12.76766,167.1067,61.91681,63.1128,33.6,0.0554,172.0317,206.3,1.288702,1.398291,62.72074
12.76441,167.1006,61.92175,62.89373,33.6,0.0554,172.0625,206.2,1.28957,1.400136,62.76414
12.76549,167.119,61.5008,62.87303,33.6,0.0556,172.1178,206.2,1.289027,1.398617,62.992
12.76658,167.1436,61.96616,63.18702,33.6,0.0556,172.1732,206.3,1.289787,1.400353,63.15475
12.76007,167.1129,61.66457,62.68637,33.6,0.0556,172.3392,206.3,1.289787,1.400787,62.71531
12.77743,167.1129,61.81802,62.7279,33.6,0.0558,172.2469,206.3,1.289679,1.400353,62.68276
12.76224,167.0883,61.51571,62.7528,33.6,0.0561,172.0932,206.3,1.290004,1.400895,62.69361
12.76224,167.076,61.7834,63.10042,33.6,0.0558,172.1301,206.3,1.290221,1.400787,62.63393
12.76115,167.076,62.17787,63.2694,33.6,0.0557,172.1547,206.3,1.290221,1.400787,62.17279
12.76549,167.2051,61.83779,62.85232,33.6,0.0559,172.1609,206.3,1.290547,1.401438,62.67191
12.77092,167.119,61.40133,62.50332,33.6,0.056,172.1793,206.3,1.289245,1.39981,63.25241
12.78286,167.0883,61.89707,63.06327,33.6,0.0562,172.0317,206.3,1.289245,1.399593,63.00827
12.78286,167.1129,62.13854,63.21587,33.6,0.0555,172.0871,206.3,1.289679,1.399919,62.52
12.77309,167.0883,61.76856,63.12518,33.6,0.0552,171.8719,206.3,1.288594,1.398834,62.69904
12.78828,167.1129,61.82296,62.56578,33.6,0.0556,171.9334,206.3,1.288919,1.398291,63.04625
